ChunkContent,Subject,Predicate,Object,Confidence,Expert Answer,Short Justification
"[0060] Non-limiting examples of acrylate film forming agents include acrylates copolymer, acrylates/isobornyl acrylate copolymer, acrylic acid/isobutyl acrylate/isobornyl acrylate copolymer, acrylates/stearyl methacrylate copolymer, acrylate/trimethyl polysiloxymethacrylate, acrylates/dimethicone copolymer, octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer, VA/butyl maleate/isobornyl acrylate copolymer, acrylates/t-butylacrylamide copolymer, and acrylates/dimethylaminoethyl methacrylate copolymer. In one embodiment, the acrylate polymer includes acrylates copolymer and acrylates/isobornyl acrylate copolymer.
[0061] The acrylate film forming agent(s) may be present in a total amount of 0.5%, 1%, or 1.5% up to 2%, 2.5%, or 3% by weight of the composition. In one embodiment, a plurality of acrylate film forming agents are present, where the first acrylate film forming agent being present in an amount of at least 1.5% by weight of the composition, and the composition is substantially free or essentially free of all other acrylate film forming agents (such as all other acrylate film forming agents being present in a total amount of less than 0.1% by weight of the composition)
",Acrylate film forming agents,include,acrylic acid/isobutyl acrylate/isobornyl acrylate copolymer,0.95,,
"[0060] Non-limiting examples of acrylate film forming agents include acrylates copolymer, acrylates/isobornyl acrylate copolymer, acrylic acid/isobutyl acrylate/isobornyl acrylate copolymer, acrylates/stearyl methacrylate copolymer, acrylate/trimethyl polysiloxymethacrylate, acrylates/dimethicone copolymer, octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer, VA/butyl maleate/isobornyl acrylate copolymer, acrylates/t-butylacrylamide copolymer, and acrylates/dimethylaminoethyl methacrylate copolymer. In one embodiment, the acrylate polymer includes acrylates copolymer and acrylates/isobornyl acrylate copolymer.
[0061] The acrylate film forming agent(s) may be present in a total amount of 0.5%, 1%, or 1.5% up to 2%, 2.5%, or 3% by weight of the composition. In one embodiment, a plurality of acrylate film forming agents are present, where the first acrylate film forming agent being present in an amount of at least 1.5% by weight of the composition, and the composition is substantially free or essentially free of all other acrylate film forming agents (such as all other acrylate film forming agents being present in a total amount of less than 0.1% by weight of the composition)
",Acrylate film forming agents,include,acrylates/stearyl methacrylate copolymer,0.95,,
"[0060] Non-limiting examples of acrylate film forming agents include acrylates copolymer, acrylates/isobornyl acrylate copolymer, acrylic acid/isobutyl acrylate/isobornyl acrylate copolymer, acrylates/stearyl methacrylate copolymer, acrylate/trimethyl polysiloxymethacrylate, acrylates/dimethicone copolymer, octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer, VA/butyl maleate/isobornyl acrylate copolymer, acrylates/t-butylacrylamide copolymer, and acrylates/dimethylaminoethyl methacrylate copolymer. In one embodiment, the acrylate polymer includes acrylates copolymer and acrylates/isobornyl acrylate copolymer.
[0061] The acrylate film forming agent(s) may be present in a total amount of 0.5%, 1%, or 1.5% up to 2%, 2.5%, or 3% by weight of the composition. In one embodiment, a plurality of acrylate film forming agents are present, where the first acrylate film forming agent being present in an amount of at least 1.5% by weight of the composition, and the composition is substantially free or essentially free of all other acrylate film forming agents (such as all other acrylate film forming agents being present in a total amount of less than 0.1% by weight of the composition)
",Acrylate film forming agents,include,acrylate/trimethyl polysiloxymethacrylate,0.95,,
"[0060] Non-limiting examples of acrylate film forming agents include acrylates copolymer, acrylates/isobornyl acrylate copolymer, acrylic acid/isobutyl acrylate/isobornyl acrylate copolymer, acrylates/stearyl methacrylate copolymer, acrylate/trimethyl polysiloxymethacrylate, acrylates/dimethicone copolymer, octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer, VA/butyl maleate/isobornyl acrylate copolymer, acrylates/t-butylacrylamide copolymer, and acrylates/dimethylaminoethyl methacrylate copolymer. In one embodiment, the acrylate polymer includes acrylates copolymer and acrylates/isobornyl acrylate copolymer.
[0061] The acrylate film forming agent(s) may be present in a total amount of 0.5%, 1%, or 1.5% up to 2%, 2.5%, or 3% by weight of the composition. In one embodiment, a plurality of acrylate film forming agents are present, where the first acrylate film forming agent being present in an amount of at least 1.5% by weight of the composition, and the composition is substantially free or essentially free of all other acrylate film forming agents (such as all other acrylate film forming agents being present in a total amount of less than 0.1% by weight of the composition)
",Acrylate film forming agents,include,acrylates/dimethicone copolymer,0.95,,
"[0060] Non-limiting examples of acrylate film forming agents include acrylates copolymer, acrylates/isobornyl acrylate copolymer, acrylic acid/isobutyl acrylate/isobornyl acrylate copolymer, acrylates/stearyl methacrylate copolymer, acrylate/trimethyl polysiloxymethacrylate, acrylates/dimethicone copolymer, octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer, VA/butyl maleate/isobornyl acrylate copolymer, acrylates/t-butylacrylamide copolymer, and acrylates/dimethylaminoethyl methacrylate copolymer. In one embodiment, the acrylate polymer includes acrylates copolymer and acrylates/isobornyl acrylate copolymer.
[0061] The acrylate film forming agent(s) may be present in a total amount of 0.5%, 1%, or 1.5% up to 2%, 2.5%, or 3% by weight of the composition. In one embodiment, a plurality of acrylate film forming agents are present, where the first acrylate film forming agent being present in an amount of at least 1.5% by weight of the composition, and the composition is substantially free or essentially free of all other acrylate film forming agents (such as all other acrylate film forming agents being present in a total amount of less than 0.1% by weight of the composition)
",Acrylate film forming agents,include,octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer,0.95,,
"[0060] Non-limiting examples of acrylate film forming agents include acrylates copolymer, acrylates/isobornyl acrylate copolymer, acrylic acid/isobutyl acrylate/isobornyl acrylate copolymer, acrylates/stearyl methacrylate copolymer, acrylate/trimethyl polysiloxymethacrylate, acrylates/dimethicone copolymer, octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer, VA/butyl maleate/isobornyl acrylate copolymer, acrylates/t-butylacrylamide copolymer, and acrylates/dimethylaminoethyl methacrylate copolymer. In one embodiment, the acrylate polymer includes acrylates copolymer and acrylates/isobornyl acrylate copolymer.
[0061] The acrylate film forming agent(s) may be present in a total amount of 0.5%, 1%, or 1.5% up to 2%, 2.5%, or 3% by weight of the composition. In one embodiment, a plurality of acrylate film forming agents are present, where the first acrylate film forming agent being present in an amount of at least 1.5% by weight of the composition, and the composition is substantially free or essentially free of all other acrylate film forming agents (such as all other acrylate film forming agents being present in a total amount of less than 0.1% by weight of the composition)
",Acrylate film forming agents,include,VA/butyl maleate/isobornyl acrylate copolymer,0.95,,
"[0060] Non-limiting examples of acrylate film forming agents include acrylates copolymer, acrylates/isobornyl acrylate copolymer, acrylic acid/isobutyl acrylate/isobornyl acrylate copolymer, acrylates/stearyl methacrylate copolymer, acrylate/trimethyl polysiloxymethacrylate, acrylates/dimethicone copolymer, octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer, VA/butyl maleate/isobornyl acrylate copolymer, acrylates/t-butylacrylamide copolymer, and acrylates/dimethylaminoethyl methacrylate copolymer. In one embodiment, the acrylate polymer includes acrylates copolymer and acrylates/isobornyl acrylate copolymer.
[0061] The acrylate film forming agent(s) may be present in a total amount of 0.5%, 1%, or 1.5% up to 2%, 2.5%, or 3% by weight of the composition. In one embodiment, a plurality of acrylate film forming agents are present, where the first acrylate film forming agent being present in an amount of at least 1.5% by weight of the composition, and the composition is substantially free or essentially free of all other acrylate film forming agents (such as all other acrylate film forming agents being present in a total amount of less than 0.1% by weight of the composition)
",Acrylate film forming agents,include,acrylates/t-butylacrylamide copolymer,0.95,,
"[0060] Non-limiting examples of acrylate film forming agents include acrylates copolymer, acrylates/isobornyl acrylate copolymer, acrylic acid/isobutyl acrylate/isobornyl acrylate copolymer, acrylates/stearyl methacrylate copolymer, acrylate/trimethyl polysiloxymethacrylate, acrylates/dimethicone copolymer, octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer, VA/butyl maleate/isobornyl acrylate copolymer, acrylates/t-butylacrylamide copolymer, and acrylates/dimethylaminoethyl methacrylate copolymer. In one embodiment, the acrylate polymer includes acrylates copolymer and acrylates/isobornyl acrylate copolymer.
[0061] The acrylate film forming agent(s) may be present in a total amount of 0.5%, 1%, or 1.5% up to 2%, 2.5%, or 3% by weight of the composition. In one embodiment, a plurality of acrylate film forming agents are present, where the first acrylate film forming agent being present in an amount of at least 1.5% by weight of the composition, and the composition is substantially free or essentially free of all other acrylate film forming agents (such as all other acrylate film forming agents being present in a total amount of less than 0.1% by weight of the composition)
",Acrylate film forming agents,include,acrylates/dimethylaminoethyl methacrylate copolymer,0.95,,
"[0060] Non-limiting examples of acrylate film forming agents include acrylates copolymer, acrylates/isobornyl acrylate copolymer, acrylic acid/isobutyl acrylate/isobornyl acrylate copolymer, acrylates/stearyl methacrylate copolymer, acrylate/trimethyl polysiloxymethacrylate, acrylates/dimethicone copolymer, octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer, VA/butyl maleate/isobornyl acrylate copolymer, acrylates/t-butylacrylamide copolymer, and acrylates/dimethylaminoethyl methacrylate copolymer. In one embodiment, the acrylate polymer includes acrylates copolymer and acrylates/isobornyl acrylate copolymer.
[0061] The acrylate film forming agent(s) may be present in a total amount of 0.5%, 1%, or 1.5% up to 2%, 2.5%, or 3% by weight of the composition. In one embodiment, a plurality of acrylate film forming agents are present, where the first acrylate film forming agent being present in an amount of at least 1.5% by weight of the composition, and the composition is substantially free or essentially free of all other acrylate film forming agents (such as all other acrylate film forming agents being present in a total amount of less than 0.1% by weight of the composition)
",The acrylate polymer,includes,acrylates copolymer,0.9,,
"[0060] Non-limiting examples of acrylate film forming agents include acrylates copolymer, acrylates/isobornyl acrylate copolymer, acrylic acid/isobutyl acrylate/isobornyl acrylate copolymer, acrylates/stearyl methacrylate copolymer, acrylate/trimethyl polysiloxymethacrylate, acrylates/dimethicone copolymer, octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer, VA/butyl maleate/isobornyl acrylate copolymer, acrylates/t-butylacrylamide copolymer, and acrylates/dimethylaminoethyl methacrylate copolymer. In one embodiment, the acrylate polymer includes acrylates copolymer and acrylates/isobornyl acrylate copolymer.
[0061] The acrylate film forming agent(s) may be present in a total amount of 0.5%, 1%, or 1.5% up to 2%, 2.5%, or 3% by weight of the composition. In one embodiment, a plurality of acrylate film forming agents are present, where the first acrylate film forming agent being present in an amount of at least 1.5% by weight of the composition, and the composition is substantially free or essentially free of all other acrylate film forming agents (such as all other acrylate film forming agents being present in a total amount of less than 0.1% by weight of the composition)
",The acrylate polymer,includes,acrylates/isobornyl acrylate copolymer,0.9,,
"[0060] Non-limiting examples of acrylate film forming agents include acrylates copolymer, acrylates/isobornyl acrylate copolymer, acrylic acid/isobutyl acrylate/isobornyl acrylate copolymer, acrylates/stearyl methacrylate copolymer, acrylate/trimethyl polysiloxymethacrylate, acrylates/dimethicone copolymer, octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer, VA/butyl maleate/isobornyl acrylate copolymer, acrylates/t-butylacrylamide copolymer, and acrylates/dimethylaminoethyl methacrylate copolymer. In one embodiment, the acrylate polymer includes acrylates copolymer and acrylates/isobornyl acrylate copolymer.
[0061] The acrylate film forming agent(s) may be present in a total amount of 0.5%, 1%, or 1.5% up to 2%, 2.5%, or 3% by weight of the composition. In one embodiment, a plurality of acrylate film forming agents are present, where the first acrylate film forming agent being present in an amount of at least 1.5% by weight of the composition, and the composition is substantially free or essentially free of all other acrylate film forming agents (such as all other acrylate film forming agents being present in a total amount of less than 0.1% by weight of the composition)
",The acrylate film forming agent(s),may be present in a total amount of,0.5% to 3% by weight of the composition,0.88,,
"[0060] Non-limiting examples of acrylate film forming agents include acrylates copolymer, acrylates/isobornyl acrylate copolymer, acrylic acid/isobutyl acrylate/isobornyl acrylate copolymer, acrylates/stearyl methacrylate copolymer, acrylate/trimethyl polysiloxymethacrylate, acrylates/dimethicone copolymer, octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer, VA/butyl maleate/isobornyl acrylate copolymer, acrylates/t-butylacrylamide copolymer, and acrylates/dimethylaminoethyl methacrylate copolymer. In one embodiment, the acrylate polymer includes acrylates copolymer and acrylates/isobornyl acrylate copolymer.
[0061] The acrylate film forming agent(s) may be present in a total amount of 0.5%, 1%, or 1.5% up to 2%, 2.5%, or 3% by weight of the composition. In one embodiment, a plurality of acrylate film forming agents are present, where the first acrylate film forming agent being present in an amount of at least 1.5% by weight of the composition, and the composition is substantially free or essentially free of all other acrylate film forming agents (such as all other acrylate film forming agents being present in a total amount of less than 0.1% by weight of the composition)
",The first acrylate film forming agent,is present in an amount of at least,1.5% by weight of the composition,0.87,,
"[0060] Non-limiting examples of acrylate film forming agents include acrylates copolymer, acrylates/isobornyl acrylate copolymer, acrylic acid/isobutyl acrylate/isobornyl acrylate copolymer, acrylates/stearyl methacrylate copolymer, acrylate/trimethyl polysiloxymethacrylate, acrylates/dimethicone copolymer, octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer, VA/butyl maleate/isobornyl acrylate copolymer, acrylates/t-butylacrylamide copolymer, and acrylates/dimethylaminoethyl methacrylate copolymer. In one embodiment, the acrylate polymer includes acrylates copolymer and acrylates/isobornyl acrylate copolymer.
[0061] The acrylate film forming agent(s) may be present in a total amount of 0.5%, 1%, or 1.5% up to 2%, 2.5%, or 3% by weight of the composition. In one embodiment, a plurality of acrylate film forming agents are present, where the first acrylate film forming agent being present in an amount of at least 1.5% by weight of the composition, and the composition is substantially free or essentially free of all other acrylate film forming agents (such as all other acrylate film forming agents being present in a total amount of less than 0.1% by weight of the composition)
",The composition,is substantially free or essentially free of,all other acrylate film forming agents,0.85,,
"[0062] Non-limiting examples of co-film forming agents include phthalic anhydride/glycerin/glycidyl decanoate copolymer, adipic acid/diethylene glycol/glycerin crosspolymer, adipic acid/neopentyl glycol/trimellitic anhydride copolymer, tosylamide/epoxy resin, and hydrogenated acetophenone/oxymethylene copolymer.
[0063] In some embodiments, the co-film forming agents may include an epoxy resin or a polyester resin.
",co-film forming agents,include,phthalic anhydride/glycerin/glycidyl decanoate copolymer,0.95,,
"[0062] Non-limiting examples of co-film forming agents include phthalic anhydride/glycerin/glycidyl decanoate copolymer, adipic acid/diethylene glycol/glycerin crosspolymer, adipic acid/neopentyl glycol/trimellitic anhydride copolymer, tosylamide/epoxy resin, and hydrogenated acetophenone/oxymethylene copolymer.
[0063] In some embodiments, the co-film forming agents may include an epoxy resin or a polyester resin.
",co-film forming agents,include,adipic acid/diethylene glycol/glycerin crosspolymer,0.95,,
"[0062] Non-limiting examples of co-film forming agents include phthalic anhydride/glycerin/glycidyl decanoate copolymer, adipic acid/diethylene glycol/glycerin crosspolymer, adipic acid/neopentyl glycol/trimellitic anhydride copolymer, tosylamide/epoxy resin, and hydrogenated acetophenone/oxymethylene copolymer.
[0063] In some embodiments, the co-film forming agents may include an epoxy resin or a polyester resin.
",co-film forming agents,include,adipic acid/neopentyl glycol/trimellitic anhydride copolymer,0.95,,
"[0062] Non-limiting examples of co-film forming agents include phthalic anhydride/glycerin/glycidyl decanoate copolymer, adipic acid/diethylene glycol/glycerin crosspolymer, adipic acid/neopentyl glycol/trimellitic anhydride copolymer, tosylamide/epoxy resin, and hydrogenated acetophenone/oxymethylene copolymer.
[0063] In some embodiments, the co-film forming agents may include an epoxy resin or a polyester resin.
",co-film forming agents,include,tosylamide/epoxy resin,0.95,,
"[0062] Non-limiting examples of co-film forming agents include phthalic anhydride/glycerin/glycidyl decanoate copolymer, adipic acid/diethylene glycol/glycerin crosspolymer, adipic acid/neopentyl glycol/trimellitic anhydride copolymer, tosylamide/epoxy resin, and hydrogenated acetophenone/oxymethylene copolymer.
[0063] In some embodiments, the co-film forming agents may include an epoxy resin or a polyester resin.
",co-film forming agents,include,hydrogenated acetophenone/oxymethylene copolymer,0.95,,
"[0062] Non-limiting examples of co-film forming agents include phthalic anhydride/glycerin/glycidyl decanoate copolymer, adipic acid/diethylene glycol/glycerin crosspolymer, adipic acid/neopentyl glycol/trimellitic anhydride copolymer, tosylamide/epoxy resin, and hydrogenated acetophenone/oxymethylene copolymer.
[0063] In some embodiments, the co-film forming agents may include an epoxy resin or a polyester resin.
",co-film forming agents,may include,epoxy resin,0.9,,
"[0062] Non-limiting examples of co-film forming agents include phthalic anhydride/glycerin/glycidyl decanoate copolymer, adipic acid/diethylene glycol/glycerin crosspolymer, adipic acid/neopentyl glycol/trimellitic anhydride copolymer, tosylamide/epoxy resin, and hydrogenated acetophenone/oxymethylene copolymer.
[0063] In some embodiments, the co-film forming agents may include an epoxy resin or a polyester resin.
",co-film forming agents,may include,polyester resin,0.9,,
"[0064] The co-film forming agent(s) may be present in a total amount of up to 8%, 9%, or 10% by weight of the composition. In some embodiments, the composition may include a plurality of co-film forming agents, including (i) an epoxy resin (such as tosylamide/epoxy resin) in an amount of 5%-10% by weight of the composition, and (ii) one or more additional co-film forming agents, the additional co-film forming agents present in a total amount of 0.1%-0.5% by weight of the composition.
",Co-Film Forming Agents,may be present in,"a total amount of up to 8%, 9%, or 10% by weight of the composition",0.9,,
"[0064] The co-film forming agent(s) may be present in a total amount of up to 8%, 9%, or 10% by weight of the composition. In some embodiments, the composition may include a plurality of co-film forming agents, including (i) an epoxy resin (such as tosylamide/epoxy resin) in an amount of 5%-10% by weight of the composition, and (ii) one or more additional co-film forming agents, the additional co-film forming agents present in a total amount of 0.1%-0.5% by weight of the composition.
",Co-Film Forming Agents,include,an epoxy resin,0.88,,
"[0064] The co-film forming agent(s) may be present in a total amount of up to 8%, 9%, or 10% by weight of the composition. In some embodiments, the composition may include a plurality of co-film forming agents, including (i) an epoxy resin (such as tosylamide/epoxy resin) in an amount of 5%-10% by weight of the composition, and (ii) one or more additional co-film forming agents, the additional co-film forming agents present in a total amount of 0.1%-0.5% by weight of the composition.
",epoxy resin,is,Tosylamide/Epoxy Resin,0.85,,
"[0064] The co-film forming agent(s) may be present in a total amount of up to 8%, 9%, or 10% by weight of the composition. In some embodiments, the composition may include a plurality of co-film forming agents, including (i) an epoxy resin (such as tosylamide/epoxy resin) in an amount of 5%-10% by weight of the composition, and (ii) one or more additional co-film forming agents, the additional co-film forming agents present in a total amount of 0.1%-0.5% by weight of the composition.
",epoxy resin,is present in,an amount of 5%-10% by weight of the composition,0.9,,
"[0064] The co-film forming agent(s) may be present in a total amount of up to 8%, 9%, or 10% by weight of the composition. In some embodiments, the composition may include a plurality of co-film forming agents, including (i) an epoxy resin (such as tosylamide/epoxy resin) in an amount of 5%-10% by weight of the composition, and (ii) one or more additional co-film forming agents, the additional co-film forming agents present in a total amount of 0.1%-0.5% by weight of the composition.
",additional Co-Film Forming Agents,are present in,a total amount of 0.1%-0.5% by weight of the composition,0.89,,
"Colorants.
",Film Forming Agents,mentioned in,patent#Description and Claims of the Invention#Details of Film Forming Agents,0.85,,
"Colorants.
",Colorants,mentioned in,patent#Description and Claims of the Invention#Mention of Colorants,0.85,,
"[0065] The composition may include one or more colorants. Any colorant typically found in nail compositions can be used. Non-limiting examples of colorants include lipophilic dyes, pigments and pearlescent agents, and their mixtures.
",The composition,may include,one or more colorants,0.9,,
"[0065] The composition may include one or more colorants. Any colorant typically found in nail compositions can be used. Non-limiting examples of colorants include lipophilic dyes, pigments and pearlescent agents, and their mixtures.
",Any colorant,can be used in,nail compositions,0.85,,
"[0065] The composition may include one or more colorants. Any colorant typically found in nail compositions can be used. Non-limiting examples of colorants include lipophilic dyes, pigments and pearlescent agents, and their mixtures.
",Non-limiting examples of colorants,include,Lipophilic dyes,0.92,,
"[0065] The composition may include one or more colorants. Any colorant typically found in nail compositions can be used. Non-limiting examples of colorants include lipophilic dyes, pigments and pearlescent agents, and their mixtures.
",Non-limiting examples of colorants,include,Pigments,0.92,,
"[0065] The composition may include one or more colorants. Any colorant typically found in nail compositions can be used. Non-limiting examples of colorants include lipophilic dyes, pigments and pearlescent agents, and their mixtures.
",Non-limiting examples of colorants,include,Pearlescent agents,0.92,,
"[0065] The composition may include one or more colorants. Any colorant typically found in nail compositions can be used. Non-limiting examples of colorants include lipophilic dyes, pigments and pearlescent agents, and their mixtures.
",Non-limiting examples of colorants,include,their mixtures,0.88,,
"[0066] Non-limiting examples of fat-soluble dyes are, for example, Sudan red, DC Red 17, DC Green 6, beta-carotene, soybean oil, Sudan brown, DC Yellow 11, DC Violet 2, DC Orange 5 and quinoline yellow.
",Sudan red,is example of,fat-soluble dyes,0.95,,
"[0066] Non-limiting examples of fat-soluble dyes are, for example, Sudan red, DC Red 17, DC Green 6, beta-carotene, soybean oil, Sudan brown, DC Yellow 11, DC Violet 2, DC Orange 5 and quinoline yellow.
",DC Red 17,is example of,fat-soluble dyes,0.95,,
"[0066] Non-limiting examples of fat-soluble dyes are, for example, Sudan red, DC Red 17, DC Green 6, beta-carotene, soybean oil, Sudan brown, DC Yellow 11, DC Violet 2, DC Orange 5 and quinoline yellow.
",DC Green 6,is example of,fat-soluble dyes,0.95,,
"[0066] Non-limiting examples of fat-soluble dyes are, for example, Sudan red, DC Red 17, DC Green 6, beta-carotene, soybean oil, Sudan brown, DC Yellow 11, DC Violet 2, DC Orange 5 and quinoline yellow.
",Beta-carotene,is example of,fat-soluble dyes,0.95,,
"[0066] Non-limiting examples of fat-soluble dyes are, for example, Sudan red, DC Red 17, DC Green 6, beta-carotene, soybean oil, Sudan brown, DC Yellow 11, DC Violet 2, DC Orange 5 and quinoline yellow.
",Soybean oil,is example of,fat-soluble dyes,0.95,,
"[0066] Non-limiting examples of fat-soluble dyes are, for example, Sudan red, DC Red 17, DC Green 6, beta-carotene, soybean oil, Sudan brown, DC Yellow 11, DC Violet 2, DC Orange 5 and quinoline yellow.
",Sudan brown,is example of,fat-soluble dyes,0.95,,
"[0066] Non-limiting examples of fat-soluble dyes are, for example, Sudan red, DC Red 17, DC Green 6, beta-carotene, soybean oil, Sudan brown, DC Yellow 11, DC Violet 2, DC Orange 5 and quinoline yellow.
",DC Yellow 11,is example of,fat-soluble dyes,0.95,,
"[0066] Non-limiting examples of fat-soluble dyes are, for example, Sudan red, DC Red 17, DC Green 6, beta-carotene, soybean oil, Sudan brown, DC Yellow 11, DC Violet 2, DC Orange 5 and quinoline yellow.
",DC Violet 2,is example of,fat-soluble dyes,0.95,,
"[0066] Non-limiting examples of fat-soluble dyes are, for example, Sudan red, DC Red 17, DC Green 6, beta-carotene, soybean oil, Sudan brown, DC Yellow 11, DC Violet 2, DC Orange 5 and quinoline yellow.
",DC Orange 5,is example of,fat-soluble dyes,0.95,,
"[0066] Non-limiting examples of fat-soluble dyes are, for example, Sudan red, DC Red 17, DC Green 6, beta-carotene, soybean oil, Sudan brown, DC Yellow 11, DC Violet 2, DC Orange 5 and quinoline yellow.
",Quinoline yellow,is example of,fat-soluble dyes,0.95,,
"[0068] In some embodiments, pearlescent pigments can be chosen from, for example, white pearlescent pigments, such as mica covered with titanium oxide or with bismuth oxychloride, colored pearlescent pigments, such as titanium oxide-coated mica with iron oxides, titanium oxide- coated mica with in particular ferric blue or chromium oxide, or titanium oxide-coated mica with an
organic pigment of the abovementioned type, and pearlescent pigments based on bismuth oxychloride.
",Pearlescent Pigments,can be chosen from,white pearlescent pigments such as mica covered with titanium oxide,0.95,,
"[0068] In some embodiments, pearlescent pigments can be chosen from, for example, white pearlescent pigments, such as mica covered with titanium oxide or with bismuth oxychloride, colored pearlescent pigments, such as titanium oxide-coated mica with iron oxides, titanium oxide- coated mica with in particular ferric blue or chromium oxide, or titanium oxide-coated mica with an
organic pigment of the abovementioned type, and pearlescent pigments based on bismuth oxychloride.
",Pearlescent Pigments,can be chosen from,white pearlescent pigments such as mica covered with bismuth oxychloride,0.95,,
"[0068] In some embodiments, pearlescent pigments can be chosen from, for example, white pearlescent pigments, such as mica covered with titanium oxide or with bismuth oxychloride, colored pearlescent pigments, such as titanium oxide-coated mica with iron oxides, titanium oxide- coated mica with in particular ferric blue or chromium oxide, or titanium oxide-coated mica with an
organic pigment of the abovementioned type, and pearlescent pigments based on bismuth oxychloride.
",Pearlescent Pigments,can be chosen from,colored pearlescent pigments such as titanium oxide-coated mica with iron oxides,0.92,,
"[0068] In some embodiments, pearlescent pigments can be chosen from, for example, white pearlescent pigments, such as mica covered with titanium oxide or with bismuth oxychloride, colored pearlescent pigments, such as titanium oxide-coated mica with iron oxides, titanium oxide- coated mica with in particular ferric blue or chromium oxide, or titanium oxide-coated mica with an
organic pigment of the abovementioned type, and pearlescent pigments based on bismuth oxychloride.
",Pearlescent Pigments,can be chosen from,titanium oxide-coated mica with ferric blue,0.9,,
"[0068] In some embodiments, pearlescent pigments can be chosen from, for example, white pearlescent pigments, such as mica covered with titanium oxide or with bismuth oxychloride, colored pearlescent pigments, such as titanium oxide-coated mica with iron oxides, titanium oxide- coated mica with in particular ferric blue or chromium oxide, or titanium oxide-coated mica with an
organic pigment of the abovementioned type, and pearlescent pigments based on bismuth oxychloride.
",Pearlescent Pigments,can be chosen from,titanium oxide-coated mica with chromium oxide,0.9,,
"[0068] In some embodiments, pearlescent pigments can be chosen from, for example, white pearlescent pigments, such as mica covered with titanium oxide or with bismuth oxychloride, colored pearlescent pigments, such as titanium oxide-coated mica with iron oxides, titanium oxide- coated mica with in particular ferric blue or chromium oxide, or titanium oxide-coated mica with an
organic pigment of the abovementioned type, and pearlescent pigments based on bismuth oxychloride.
",Pearlescent Pigments,can be chosen from,titanium oxide-coated mica with an organic pigment,0.88,,
"[0068] In some embodiments, pearlescent pigments can be chosen from, for example, white pearlescent pigments, such as mica covered with titanium oxide or with bismuth oxychloride, colored pearlescent pigments, such as titanium oxide-coated mica with iron oxides, titanium oxide- coated mica with in particular ferric blue or chromium oxide, or titanium oxide-coated mica with an
organic pigment of the abovementioned type, and pearlescent pigments based on bismuth oxychloride.
",Pearlescent Pigments,can be chosen from,pearlescent pigments based on bismuth oxychloride,0.91,,
"[0067] Pigments may be, e.g., white or colored, inorganic and/or organic and coated or uncoated. Mention may be made, for example, of inorganic pigments such as titanium dioxide, optionally surface treated, zirconium or cerium oxides and iron or chromium oxides, manganese violet, ultramarine blue, chromium hydrate and ferric blue. Mention may also be made, among organic pigments, of carbon black, pigments of D & C type and lakes based on cochineal carmine or on barium, strontium, calcium or aluminum, such as D&C Red No. 10, 11, 12, and 13, D&C Red No. 7, D&C Red No. 5 and 6, and D&D Red No. 34, as well as lakes such as D&C Yellow Lake No. 5 and D&C Red Lake No. 2.
",Pigments,may be,inorganic pigments such as Titanium Dioxide,0.85,,
"[0067] Pigments may be, e.g., white or colored, inorganic and/or organic and coated or uncoated. Mention may be made, for example, of inorganic pigments such as titanium dioxide, optionally surface treated, zirconium or cerium oxides and iron or chromium oxides, manganese violet, ultramarine blue, chromium hydrate and ferric blue. Mention may also be made, among organic pigments, of carbon black, pigments of D & C type and lakes based on cochineal carmine or on barium, strontium, calcium or aluminum, such as D&C Red No. 10, 11, 12, and 13, D&C Red No. 7, D&C Red No. 5 and 6, and D&D Red No. 34, as well as lakes such as D&C Yellow Lake No. 5 and D&C Red Lake No. 2.
",Pigments,may be,inorganic pigments such as Zirconium Oxide,0.85,,
"[0067] Pigments may be, e.g., white or colored, inorganic and/or organic and coated or uncoated. Mention may be made, for example, of inorganic pigments such as titanium dioxide, optionally surface treated, zirconium or cerium oxides and iron or chromium oxides, manganese violet, ultramarine blue, chromium hydrate and ferric blue. Mention may also be made, among organic pigments, of carbon black, pigments of D & C type and lakes based on cochineal carmine or on barium, strontium, calcium or aluminum, such as D&C Red No. 10, 11, 12, and 13, D&C Red No. 7, D&C Red No. 5 and 6, and D&D Red No. 34, as well as lakes such as D&C Yellow Lake No. 5 and D&C Red Lake No. 2.
",Pigments,may be,inorganic pigments such as Cerium Oxide,0.85,,
