ChunkContent,Subject,Predicate,Object,Confidence,Expert Answer,Short Justification,<- Fill the Answers in these columns
"Additional ingredients The composition according to the present invention may comprise one or more additional ingredients selected from pH adjusting agents (e.g. citric acid), preservatives (e.g. hydroxyacetophenone, chlorphenesin), fragrances (e.g. perfumes, essential oils), humectants (such as, propanediol, hydroxyethyl urea, acetamide MEA, glycerin, propylene glycol, butylene glycol, and pentylene glycol, PEG/PPG/polybutylene glycol-8/5/3 glycerin, methyl gluceth-20, sodium hyaIuronate).
A person skilled in the art can adjust the type and amount of additional ingredients present in the compositions according to the present invention by means
7
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
of routine operations, so that the desired properties of these compositions are not adversely affected by the additional ingredients.
",the composition according to the present invention,comprises,acetamide MEA,0.95,,,
"Additional ingredients The composition according to the present invention may comprise one or more additional ingredients selected from pH adjusting agents (e.g. citric acid), preservatives (e.g. hydroxyacetophenone, chlorphenesin), fragrances (e.g. perfumes, essential oils), humectants (such as, propanediol, hydroxyethyl urea, acetamide MEA, glycerin, propylene glycol, butylene glycol, and pentylene glycol, PEG/PPG/polybutylene glycol-8/5/3 glycerin, methyl gluceth-20, sodium hyaIuronate).
A person skilled in the art can adjust the type and amount of additional ingredients present in the compositions according to the present invention by means
7
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
of routine operations, so that the desired properties of these compositions are not adversely affected by the additional ingredients.
",the composition according to the present invention,comprises,glycerin,0.95,,,
"Additional ingredients The composition according to the present invention may comprise one or more additional ingredients selected from pH adjusting agents (e.g. citric acid), preservatives (e.g. hydroxyacetophenone, chlorphenesin), fragrances (e.g. perfumes, essential oils), humectants (such as, propanediol, hydroxyethyl urea, acetamide MEA, glycerin, propylene glycol, butylene glycol, and pentylene glycol, PEG/PPG/polybutylene glycol-8/5/3 glycerin, methyl gluceth-20, sodium hyaIuronate).
A person skilled in the art can adjust the type and amount of additional ingredients present in the compositions according to the present invention by means
7
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
of routine operations, so that the desired properties of these compositions are not adversely affected by the additional ingredients.
",the composition according to the present invention,comprises,propylene glycol,0.95,,,
"Additional ingredients The composition according to the present invention may comprise one or more additional ingredients selected from pH adjusting agents (e.g. citric acid), preservatives (e.g. hydroxyacetophenone, chlorphenesin), fragrances (e.g. perfumes, essential oils), humectants (such as, propanediol, hydroxyethyl urea, acetamide MEA, glycerin, propylene glycol, butylene glycol, and pentylene glycol, PEG/PPG/polybutylene glycol-8/5/3 glycerin, methyl gluceth-20, sodium hyaIuronate).
A person skilled in the art can adjust the type and amount of additional ingredients present in the compositions according to the present invention by means
7
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
of routine operations, so that the desired properties of these compositions are not adversely affected by the additional ingredients.
",the composition according to the present invention,comprises,butylene glycol,0.95,,,
"Additional ingredients The composition according to the present invention may comprise one or more additional ingredients selected from pH adjusting agents (e.g. citric acid), preservatives (e.g. hydroxyacetophenone, chlorphenesin), fragrances (e.g. perfumes, essential oils), humectants (such as, propanediol, hydroxyethyl urea, acetamide MEA, glycerin, propylene glycol, butylene glycol, and pentylene glycol, PEG/PPG/polybutylene glycol-8/5/3 glycerin, methyl gluceth-20, sodium hyaIuronate).
A person skilled in the art can adjust the type and amount of additional ingredients present in the compositions according to the present invention by means
7
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
of routine operations, so that the desired properties of these compositions are not adversely affected by the additional ingredients.
",the composition according to the present invention,comprises,pentylene glycol,0.95,,,
"Additional ingredients The composition according to the present invention may comprise one or more additional ingredients selected from pH adjusting agents (e.g. citric acid), preservatives (e.g. hydroxyacetophenone, chlorphenesin), fragrances (e.g. perfumes, essential oils), humectants (such as, propanediol, hydroxyethyl urea, acetamide MEA, glycerin, propylene glycol, butylene glycol, and pentylene glycol, PEG/PPG/polybutylene glycol-8/5/3 glycerin, methyl gluceth-20, sodium hyaIuronate).
A person skilled in the art can adjust the type and amount of additional ingredients present in the compositions according to the present invention by means
7
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
of routine operations, so that the desired properties of these compositions are not adversely affected by the additional ingredients.
",the composition according to the present invention,comprises,PEG/PPG/polybutylene glycol-8/5/3 glycerin,0.95,,,
"Additional ingredients The composition according to the present invention may comprise one or more additional ingredients selected from pH adjusting agents (e.g. citric acid), preservatives (e.g. hydroxyacetophenone, chlorphenesin), fragrances (e.g. perfumes, essential oils), humectants (such as, propanediol, hydroxyethyl urea, acetamide MEA, glycerin, propylene glycol, butylene glycol, and pentylene glycol, PEG/PPG/polybutylene glycol-8/5/3 glycerin, methyl gluceth-20, sodium hyaIuronate).
A person skilled in the art can adjust the type and amount of additional ingredients present in the compositions according to the present invention by means
7
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
of routine operations, so that the desired properties of these compositions are not adversely affected by the additional ingredients.
",the composition according to the present invention,comprises,methyl gluceth-20,0.95,,,
"Additional ingredients The composition according to the present invention may comprise one or more additional ingredients selected from pH adjusting agents (e.g. citric acid), preservatives (e.g. hydroxyacetophenone, chlorphenesin), fragrances (e.g. perfumes, essential oils), humectants (such as, propanediol, hydroxyethyl urea, acetamide MEA, glycerin, propylene glycol, butylene glycol, and pentylene glycol, PEG/PPG/polybutylene glycol-8/5/3 glycerin, methyl gluceth-20, sodium hyaIuronate).
A person skilled in the art can adjust the type and amount of additional ingredients present in the compositions according to the present invention by means
7
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
of routine operations, so that the desired properties of these compositions are not adversely affected by the additional ingredients.
",the composition according to the present invention,comprises,sodium hyaluronate,0.95,,,
"Comparative Examples 1-8 and Invention Examples 1-3 Compositions of comparative examples (CE.) 1-8 and invention examples (IE.) 1- 3 were prepared according to the amounts given in Table 2. The amount of each component is given in % by weight of the total weight of the composition.
9
WO 2023/060387
(o] [}]
Q2 (U
=
PCT/CN2021/123045
o wi (@)
o (@] —
8 [20]
Ln o
nn m a]
«i
- o
= o
- ~ ©
- o
N o
© o
= o
[2] 00 oo o o
~
u.i (©)
o o dl Vv), o
mM
nn o
nn m a]
Lo]
= o
- o
=
o ~
= o
9] La]
= 1 o
= o
en 00 [=] oO =
©
u.i Oo
o =] Lan) (V9) of
on
Ln o
Ln o oN
i
- oc
- oc
Tp) oO
o ~~
~~
9] —
oc n o
- oc
[)] 00 [o] o oc
Ln
u_i ()
o (=) —
8 mM
nn o
wn m a]
i
— o
-
© ~~
~
= o
oN La]
=
LN on
o =
o
[22] 00 [=] Q (=)
<
u.I Q
o Oo Lon) (2) of
m
Ln =]
1 0 o~
i
- o
=
[=] ~~
~~
Ta) o o
00 i
=] tn o
= =]
CD 0 o o
oc
m
u.i O
o o Lau) (V2) of
on
Ln o
Ln om oN
i
«i o
—
o ~~
=
o ~~
un —
o
<I’ o
— o
Ch [<1] o
o 3
o
oN LLI (©)
o o —
8 mn
nn o
wn m a]
i
— o
-
© ~~
Ln o
= ~~
Ln La]
oc < o
= o
ch 00 o <Q [=]
NE: Ll.l (&)
o o wl Vv) o
mM
nn o
nn mM a]
Lo]
= o
=
o ~
~ ~
nN Lo]
= pt o
= o
aN 00 [=] o oc
on Lu
(=) o — Vv) of
on
wn o
wn m oN
La]
hE o
— o
— o
—
o ~~
bE: o
nn o
— o
[2)] 00 [=] <Q o
~N Lu
o o of (V2) of
m
n o
n m a]
i
= o
- o
Ta) o o
=
o ~~
— o
1 o
= o
[)] 00 o o =
i LI.I
o o Ln [%) of
[29]
1 o
Ln m o~
i
- o
= o
[Ta] Oo
[=]
Ln o
oc ~~
- o
in o
Ln o
oc
[o] 00 [=] o
oc
[5] rd} c [2] c [o] o
E [e] (@)
oe I.I.l [ <
=
fu o
[a] rm} < < a Qo oc a
Lu =< Oo < I.I.I I o oO = LI.I () > > x Qo Id [a] > I
2
oc LIJ (
> O
Lu =z LLI —
> 2
a a
o a. — L9 oa. O. a L9 LIJ (a
=
[a Lu
$ —
(LU)
om ~~ Tp] Ss
00 1
-—
Oo oO
>; (D
o oN
1
x — LI.I Q 0 =
(D =I >= I [— Lu
p=
tw < 2 Oo 2
jm] a
NS I
= =) [a] (@] [%)
[= UN]
= jo] om oe <C (9)
p= -) L9 P < us fu < < x
2
(D —
<
LLI [Ya]
Oo —
- — — I.I.I (&] pur > I [a Ll.I > x Oo oc [a] > x
o Q < oO oc [— (@]
LI.I [—
= = (@]
= -) [a] ©] [7]
—- 2 wi
= oc I.I.I [TI
S —
Q (Va) ©] re oc = >
wy a
<< wi — < [4 J 2
=
[=] v—I
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
",Comparative Examples 1-8,prepared according to,amounts given in Table 2,0.95,,,
"Comparative Examples 1-8 and Invention Examples 1-3 Compositions of comparative examples (CE.) 1-8 and invention examples (IE.) 1- 3 were prepared according to the amounts given in Table 2. The amount of each component is given in % by weight of the total weight of the composition.
9
WO 2023/060387
(o] [}]
Q2 (U
=
PCT/CN2021/123045
o wi (@)
o (@] —
8 [20]
Ln o
nn m a]
«i
- o
= o
- ~ ©
- o
N o
© o
= o
[2] 00 oo o o
~
u.i (©)
o o dl Vv), o
mM
nn o
nn m a]
Lo]
= o
- o
=
o ~
= o
9] La]
= 1 o
= o
en 00 [=] oO =
©
u.i Oo
o =] Lan) (V9) of
on
Ln o
Ln o oN
i
- oc
- oc
Tp) oO
o ~~
~~
9] —
oc n o
- oc
[)] 00 [o] o oc
Ln
u_i ()
o (=) —
8 mM
nn o
wn m a]
i
— o
-
© ~~
~
= o
oN La]
=
LN on
o =
o
[22] 00 [=] Q (=)
<
u.I Q
o Oo Lon) (2) of
m
Ln =]
1 0 o~
i
- o
=
[=] ~~
~~
Ta) o o
00 i
=] tn o
= =]
CD 0 o o
oc
m
u.i O
o o Lau) (V2) of
on
Ln o
Ln om oN
i
«i o
—
o ~~
=
o ~~
un —
o
<I’ o
— o
Ch [<1] o
o 3
o
oN LLI (©)
o o —
8 mn
nn o
wn m a]
i
— o
-
© ~~
Ln o
= ~~
Ln La]
oc < o
= o
ch 00 o <Q [=]
NE: Ll.l (&)
o o wl Vv) o
mM
nn o
nn mM a]
Lo]
= o
=
o ~
~ ~
nN Lo]
= pt o
= o
aN 00 [=] o oc
on Lu
(=) o — Vv) of
on
wn o
wn m oN
La]
hE o
— o
— o
—
o ~~
bE: o
nn o
— o
[2)] 00 [=] <Q o
~N Lu
o o of (V2) of
m
n o
n m a]
i
= o
- o
Ta) o o
=
o ~~
— o
1 o
= o
[)] 00 o o =
i LI.I
o o Ln [%) of
[29]
1 o
Ln m o~
i
- o
= o
[Ta] Oo
[=]
Ln o
oc ~~
- o
in o
Ln o
oc
[o] 00 [=] o
oc
[5] rd} c [2] c [o] o
E [e] (@)
oe I.I.l [ <
=
fu o
[a] rm} < < a Qo oc a
Lu =< Oo < I.I.I I o oO = LI.I () > > x Qo Id [a] > I
2
oc LIJ (
> O
Lu =z LLI —
> 2
a a
o a. — L9 oa. O. a L9 LIJ (a
=
[a Lu
$ —
(LU)
om ~~ Tp] Ss
00 1
-—
Oo oO
>; (D
o oN
1
x — LI.I Q 0 =
(D =I >= I [— Lu
p=
tw < 2 Oo 2
jm] a
NS I
= =) [a] (@] [%)
[= UN]
= jo] om oe <C (9)
p= -) L9 P < us fu < < x
2
(D —
<
LLI [Ya]
Oo —
- — — I.I.I (&] pur > I [a Ll.I > x Oo oc [a] > x
o Q < oO oc [— (@]
LI.I [—
= = (@]
= -) [a] ©] [7]
—- 2 wi
= oc I.I.I [TI
S —
Q (Va) ©] re oc = >
wy a
<< wi — < [4 J 2
=
[=] v—I
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
",Invention Examples 1-3,prepared according to,amounts given in Table 2,0.95,,,
"Comparative Examples 1-8 and Invention Examples 1-3 Compositions of comparative examples (CE.) 1-8 and invention examples (IE.) 1- 3 were prepared according to the amounts given in Table 2. The amount of each component is given in % by weight of the total weight of the composition.
9
WO 2023/060387
(o] [}]
Q2 (U
=
PCT/CN2021/123045
o wi (@)
o (@] —
8 [20]
Ln o
nn m a]
«i
- o
= o
- ~ ©
- o
N o
© o
= o
[2] 00 oo o o
~
u.i (©)
o o dl Vv), o
mM
nn o
nn m a]
Lo]
= o
- o
=
o ~
= o
9] La]
= 1 o
= o
en 00 [=] oO =
©
u.i Oo
o =] Lan) (V9) of
on
Ln o
Ln o oN
i
- oc
- oc
Tp) oO
o ~~
~~
9] —
oc n o
- oc
[)] 00 [o] o oc
Ln
u_i ()
o (=) —
8 mM
nn o
wn m a]
i
— o
-
© ~~
~
= o
oN La]
=
LN on
o =
o
[22] 00 [=] Q (=)
<
u.I Q
o Oo Lon) (2) of
m
Ln =]
1 0 o~
i
- o
=
[=] ~~
~~
Ta) o o
00 i
=] tn o
= =]
CD 0 o o
oc
m
u.i O
o o Lau) (V2) of
on
Ln o
Ln om oN
i
«i o
—
o ~~
=
o ~~
un —
o
<I’ o
— o
Ch [<1] o
o 3
o
oN LLI (©)
o o —
8 mn
nn o
wn m a]
i
— o
-
© ~~
Ln o
= ~~
Ln La]
oc < o
= o
ch 00 o <Q [=]
NE: Ll.l (&)
o o wl Vv) o
mM
nn o
nn mM a]
Lo]
= o
=
o ~
~ ~
nN Lo]
= pt o
= o
aN 00 [=] o oc
on Lu
(=) o — Vv) of
on
wn o
wn m oN
La]
hE o
— o
— o
—
o ~~
bE: o
nn o
— o
[2)] 00 [=] <Q o
~N Lu
o o of (V2) of
m
n o
n m a]
i
= o
- o
Ta) o o
=
o ~~
— o
1 o
= o
[)] 00 o o =
i LI.I
o o Ln [%) of
[29]
1 o
Ln m o~
i
- o
= o
[Ta] Oo
[=]
Ln o
oc ~~
- o
in o
Ln o
oc
[o] 00 [=] o
oc
[5] rd} c [2] c [o] o
E [e] (@)
oe I.I.l [ <
=
fu o
[a] rm} < < a Qo oc a
Lu =< Oo < I.I.I I o oO = LI.I () > > x Qo Id [a] > I
2
oc LIJ (
> O
Lu =z LLI —
> 2
a a
o a. — L9 oa. O. a L9 LIJ (a
=
[a Lu
$ —
(LU)
om ~~ Tp] Ss
00 1
-—
Oo oO
>; (D
o oN
1
x — LI.I Q 0 =
(D =I >= I [— Lu
p=
tw < 2 Oo 2
jm] a
NS I
= =) [a] (@] [%)
[= UN]
= jo] om oe <C (9)
p= -) L9 P < us fu < < x
2
(D —
<
LLI [Ya]
Oo —
- — — I.I.I (&] pur > I [a Ll.I > x Oo oc [a] > x
o Q < oO oc [— (@]
LI.I [—
= = (@]
= -) [a] ©] [7]
—- 2 wi
= oc I.I.I [TI
S —
Q (Va) ©] re oc = >
wy a
<< wi — < [4 J 2
=
[=] v—I
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
",amount of each component,is given in,% by weight of the total weight of the composition,0.9,,,
"Evaluation of compositions The compositions prepared above were evaluated. Stability The stability of each composition was evaluated as follows:
1) filling 40 mL of the sample into a 60 mL glass bottle and preparing six bottles for each composition to be tested;
2) putting one bottle under the sunlight, one bottle at room temperature, one bottle into a refrigerator at 4°C, one bottle into an oven at 37 °C and one bottle into an oven at 45 °C (for stability tests at different temperatures), and one bottle into an oven with the temperature cycling from -20 °C to 20 °C (for cycle stability); and
3) observing the samples’ appearance after 2 months for stability tests at different temperatures, 10 days for cycle stability, 24 hours for sunlight stability.
The stability will be evaluated as PASS if its appearance does not change after all of the stability tests at different temperature and that cycle stability test, otherwise, it will be evaluated as FAILED.
",Stability Testing,is conducted at,4°C,0.9,,,
"Evaluation of compositions The compositions prepared above were evaluated. Stability The stability of each composition was evaluated as follows:
1) filling 40 mL of the sample into a 60 mL glass bottle and preparing six bottles for each composition to be tested;
2) putting one bottle under the sunlight, one bottle at room temperature, one bottle into a refrigerator at 4°C, one bottle into an oven at 37 °C and one bottle into an oven at 45 °C (for stability tests at different temperatures), and one bottle into an oven with the temperature cycling from -20 °C to 20 °C (for cycle stability); and
3) observing the samples’ appearance after 2 months for stability tests at different temperatures, 10 days for cycle stability, 24 hours for sunlight stability.
The stability will be evaluated as PASS if its appearance does not change after all of the stability tests at different temperature and that cycle stability test, otherwise, it will be evaluated as FAILED.
",Stability Testing,is conducted at,37°C,0.9,,,
"Evaluation of compositions The compositions prepared above were evaluated. Stability The stability of each composition was evaluated as follows:
1) filling 40 mL of the sample into a 60 mL glass bottle and preparing six bottles for each composition to be tested;
2) putting one bottle under the sunlight, one bottle at room temperature, one bottle into a refrigerator at 4°C, one bottle into an oven at 37 °C and one bottle into an oven at 45 °C (for stability tests at different temperatures), and one bottle into an oven with the temperature cycling from -20 °C to 20 °C (for cycle stability); and
3) observing the samples’ appearance after 2 months for stability tests at different temperatures, 10 days for cycle stability, 24 hours for sunlight stability.
The stability will be evaluated as PASS if its appearance does not change after all of the stability tests at different temperature and that cycle stability test, otherwise, it will be evaluated as FAILED.
",Stability Testing,is conducted at,45°C,0.9,,,
"Evaluation of compositions The compositions prepared above were evaluated. Stability The stability of each composition was evaluated as follows:
1) filling 40 mL of the sample into a 60 mL glass bottle and preparing six bottles for each composition to be tested;
2) putting one bottle under the sunlight, one bottle at room temperature, one bottle into a refrigerator at 4°C, one bottle into an oven at 37 °C and one bottle into an oven at 45 °C (for stability tests at different temperatures), and one bottle into an oven with the temperature cycling from -20 °C to 20 °C (for cycle stability); and
3) observing the samples’ appearance after 2 months for stability tests at different temperatures, 10 days for cycle stability, 24 hours for sunlight stability.
The stability will be evaluated as PASS if its appearance does not change after all of the stability tests at different temperature and that cycle stability test, otherwise, it will be evaluated as FAILED.
",Stability Testing,is conducted with temperature cycling from,-20°C to 20°C,0.92,,,
"Preparation process The compositions were prepared as follows, taking the composition according to invention example 1 as an example:
1). 40 wt.% of water was heated to 80°C, then carbomer, glycerin, hydroxyacetophenone, sodium hyaluronate, and a premix phase (including propanediol, aIgin, PEG/PPG/polybutylene glycol-8/5/3 glycerin) were added with stirring,
2). 40 wt.% of water was added with stirring, 3). sodium citrate and citric acid were added, 4). mineral salt and vitreoscilla ferment were added to obtain the composition.
",40 wt.% of water,was heated to,80°C,0.95,,,
"Preparation process The compositions were prepared as follows, taking the composition according to invention example 1 as an example:
1). 40 wt.% of water was heated to 80°C, then carbomer, glycerin, hydroxyacetophenone, sodium hyaluronate, and a premix phase (including propanediol, aIgin, PEG/PPG/polybutylene glycol-8/5/3 glycerin) were added with stirring,
2). 40 wt.% of water was added with stirring, 3). sodium citrate and citric acid were added, 4). mineral salt and vitreoscilla ferment were added to obtain the composition.
",carbomer,was added with,stirring,0.9,,,
"Preparation process The compositions were prepared as follows, taking the composition according to invention example 1 as an example:
1). 40 wt.% of water was heated to 80°C, then carbomer, glycerin, hydroxyacetophenone, sodium hyaluronate, and a premix phase (including propanediol, aIgin, PEG/PPG/polybutylene glycol-8/5/3 glycerin) were added with stirring,
2). 40 wt.% of water was added with stirring, 3). sodium citrate and citric acid were added, 4). mineral salt and vitreoscilla ferment were added to obtain the composition.
",glycerin,was added with,stirring,0.9,,,
"Preparation process The compositions were prepared as follows, taking the composition according to invention example 1 as an example:
1). 40 wt.% of water was heated to 80°C, then carbomer, glycerin, hydroxyacetophenone, sodium hyaluronate, and a premix phase (including propanediol, aIgin, PEG/PPG/polybutylene glycol-8/5/3 glycerin) were added with stirring,
2). 40 wt.% of water was added with stirring, 3). sodium citrate and citric acid were added, 4). mineral salt and vitreoscilla ferment were added to obtain the composition.
",hydroxyacetophenone,was added with,stirring,0.9,,,
"Preparation process The compositions were prepared as follows, taking the composition according to invention example 1 as an example:
1). 40 wt.% of water was heated to 80°C, then carbomer, glycerin, hydroxyacetophenone, sodium hyaluronate, and a premix phase (including propanediol, aIgin, PEG/PPG/polybutylene glycol-8/5/3 glycerin) were added with stirring,
2). 40 wt.% of water was added with stirring, 3). sodium citrate and citric acid were added, 4). mineral salt and vitreoscilla ferment were added to obtain the composition.
",sodium hyaluronate,was added with,stirring,0.9,,,
"Preparation process The compositions were prepared as follows, taking the composition according to invention example 1 as an example:
1). 40 wt.% of water was heated to 80°C, then carbomer, glycerin, hydroxyacetophenone, sodium hyaluronate, and a premix phase (including propanediol, aIgin, PEG/PPG/polybutylene glycol-8/5/3 glycerin) were added with stirring,
2). 40 wt.% of water was added with stirring, 3). sodium citrate and citric acid were added, 4). mineral salt and vitreoscilla ferment were added to obtain the composition.
",a premix phase,includes,"propanediol, algin, PEG/PPG/polybutylene glycol-8/5/3 glycerin",0.92,,,
"Preparation process The compositions were prepared as follows, taking the composition according to invention example 1 as an example:
1). 40 wt.% of water was heated to 80°C, then carbomer, glycerin, hydroxyacetophenone, sodium hyaluronate, and a premix phase (including propanediol, aIgin, PEG/PPG/polybutylene glycol-8/5/3 glycerin) were added with stirring,
2). 40 wt.% of water was added with stirring, 3). sodium citrate and citric acid were added, 4). mineral salt and vitreoscilla ferment were added to obtain the composition.
",a premix phase,was added with,stirring,0.88,,,
"Preparation process The compositions were prepared as follows, taking the composition according to invention example 1 as an example:
1). 40 wt.% of water was heated to 80°C, then carbomer, glycerin, hydroxyacetophenone, sodium hyaluronate, and a premix phase (including propanediol, aIgin, PEG/PPG/polybutylene glycol-8/5/3 glycerin) were added with stirring,
2). 40 wt.% of water was added with stirring, 3). sodium citrate and citric acid were added, 4). mineral salt and vitreoscilla ferment were added to obtain the composition.
",40 wt.% of water,was added with,stirring,0.9,,,
"Preparation process The compositions were prepared as follows, taking the composition according to invention example 1 as an example:
1). 40 wt.% of water was heated to 80°C, then carbomer, glycerin, hydroxyacetophenone, sodium hyaluronate, and a premix phase (including propanediol, aIgin, PEG/PPG/polybutylene glycol-8/5/3 glycerin) were added with stirring,
2). 40 wt.% of water was added with stirring, 3). sodium citrate and citric acid were added, 4). mineral salt and vitreoscilla ferment were added to obtain the composition.
",sodium citrate,was added,to the composition,0.85,,,
"Preparation process The compositions were prepared as follows, taking the composition according to invention example 1 as an example:
1). 40 wt.% of water was heated to 80°C, then carbomer, glycerin, hydroxyacetophenone, sodium hyaluronate, and a premix phase (including propanediol, aIgin, PEG/PPG/polybutylene glycol-8/5/3 glycerin) were added with stirring,
2). 40 wt.% of water was added with stirring, 3). sodium citrate and citric acid were added, 4). mineral salt and vitreoscilla ferment were added to obtain the composition.
",citric acid,was added,to the composition,0.85,,,
"Preparation process The compositions were prepared as follows, taking the composition according to invention example 1 as an example:
1). 40 wt.% of water was heated to 80°C, then carbomer, glycerin, hydroxyacetophenone, sodium hyaluronate, and a premix phase (including propanediol, aIgin, PEG/PPG/polybutylene glycol-8/5/3 glycerin) were added with stirring,
2). 40 wt.% of water was added with stirring, 3). sodium citrate and citric acid were added, 4). mineral salt and vitreoscilla ferment were added to obtain the composition.
",mineral salt,was added,to the composition,0.85,,,
"Preparation process The compositions were prepared as follows, taking the composition according to invention example 1 as an example:
1). 40 wt.% of water was heated to 80°C, then carbomer, glycerin, hydroxyacetophenone, sodium hyaluronate, and a premix phase (including propanediol, aIgin, PEG/PPG/polybutylene glycol-8/5/3 glycerin) were added with stirring,
2). 40 wt.% of water was added with stirring, 3). sodium citrate and citric acid were added, 4). mineral salt and vitreoscilla ferment were added to obtain the composition.
",vitreoscilla ferment,was added,to the composition,0.85,,,
"Viscosity For each composition, the viscosity was measured at 25 °C by means of the Rheomat RM 180 apparatus, marketed by the company LAMY, equipped with a mobile MS-R1, rotating at 200 rpm. The viscosity values were measured after 10 minutes of shear.
",viscosity,was measured at,25 °C,0.95,,,
"Viscosity For each composition, the viscosity was measured at 25 °C by means of the Rheomat RM 180 apparatus, marketed by the company LAMY, equipped with a mobile MS-R1, rotating at 200 rpm. The viscosity values were measured after 10 minutes of shear.
",viscosity,was measured by means of,Rheomat RM 180,0.95,,,
"Viscosity For each composition, the viscosity was measured at 25 °C by means of the Rheomat RM 180 apparatus, marketed by the company LAMY, equipped with a mobile MS-R1, rotating at 200 rpm. The viscosity values were measured after 10 minutes of shear.
",Rheomat RM 180,is marketed by,LAMY,0.9,,,
"Viscosity For each composition, the viscosity was measured at 25 °C by means of the Rheomat RM 180 apparatus, marketed by the company LAMY, equipped with a mobile MS-R1, rotating at 200 rpm. The viscosity values were measured after 10 minutes of shear.
",Rheomat RM 180,is equipped with,MS-R1,0.92,,,
"Viscosity For each composition, the viscosity was measured at 25 °C by means of the Rheomat RM 180 apparatus, marketed by the company LAMY, equipped with a mobile MS-R1, rotating at 200 rpm. The viscosity values were measured after 10 minutes of shear.
",MS-R1,is rotating at,200 rpm,0.88,,,
"Viscosity For each composition, the viscosity was measured at 25 °C by means of the Rheomat RM 180 apparatus, marketed by the company LAMY, equipped with a mobile MS-R1, rotating at 200 rpm. The viscosity values were measured after 10 minutes of shear.
",viscosity values,were measured after,10 minutes of shear,0.87,,,
"Main raw materials used, trade names and supplier thereof are listed in Table
1.
Table 1
RM code Trade Name
Supplier
HYDROXYACETOPHENONE SYMSAVE HO
SYMRISE
PEG/PPG/POLYBUTYLENE GLYCOL-8/5/3 GLYCERIN
WILBRIDE S-753L NOF CORPORATION
METHYL GLUCETH-20 GLUCAM™ E-20 H U M ECTANT
LUBRIZOL
SODIUM HYALURONATE CRISTALHYAL LO
SOLIANCE (GIVAUDAN)
CARBOMER ACRYPOL® 980
COREL PHARMA CHEM
XANTHAN GUM KELTROL® CG-T
CP KELCO
CITRIC ACID
CITRIC ACID MONOHYDRATE GRANULAR
CITRIQUE BELGE
SODIUM CITRATE
TRISODIUM CITRATE DIHYDRATE FINE GRANULAR
CITRIQUE BELGE
VITREOSCI LLA FERMENT MEXORYL® scw
NOVEAL
WATER PREMIX VICHY
VICHY
MINERAL SALTS SEL DE VICHY
COMPAGNIE DE VICHY
ALGIN PROTANAL PH 6160
DUPONT
",HYDROXYACETOPHENONE,supplied by,SYMRISE,0.95,,,
"Main raw materials used, trade names and supplier thereof are listed in Table
1.
Table 1
RM code Trade Name
Supplier
HYDROXYACETOPHENONE SYMSAVE HO
SYMRISE
PEG/PPG/POLYBUTYLENE GLYCOL-8/5/3 GLYCERIN
WILBRIDE S-753L NOF CORPORATION
METHYL GLUCETH-20 GLUCAM™ E-20 H U M ECTANT
LUBRIZOL
SODIUM HYALURONATE CRISTALHYAL LO
SOLIANCE (GIVAUDAN)
CARBOMER ACRYPOL® 980
COREL PHARMA CHEM
XANTHAN GUM KELTROL® CG-T
CP KELCO
CITRIC ACID
CITRIC ACID MONOHYDRATE GRANULAR
CITRIQUE BELGE
SODIUM CITRATE
TRISODIUM CITRATE DIHYDRATE FINE GRANULAR
CITRIQUE BELGE
VITREOSCI LLA FERMENT MEXORYL® scw
NOVEAL
WATER PREMIX VICHY
VICHY
MINERAL SALTS SEL DE VICHY
COMPAGNIE DE VICHY
ALGIN PROTANAL PH 6160
DUPONT
",PEG/PPG/POLYBUTYLENE GLYCOL-8/5/3 GLYCERIN,also known as,WILBRIDE S-753L,0.92,,,
